,source_dataset,target_model,target_dataset,target_balancing,target_adv_training,baseline_f1
420,google,alexnet,google,20/80,surrogate,0.8119227
421,google,alexnet,google,30/70,surrogate,0.8561054
422,google,alexnet,google,40/60,surrogate,0.8720472
423,google,alexnet,google,50/50,surrogate,0.86349535
424,google,resnet,google,20/80,surrogate,0.8994413
425,google,resnet,google,30/70,surrogate,0.913901
426,google,resnet,google,40/60,surrogate,0.92935324
427,google,resnet,google,50/50,surrogate,0.925907
428,google,vgg,google,20/80,surrogate,0.9036201
429,google,vgg,google,30/70,surrogate,0.90830946
430,google,vgg,google,40/60,surrogate,0.92438656
431,google,vgg,google,50/50,surrogate,0.9198138
